Item,Type,Description
Topaz,Gem,A gem symbolizing prosperity. Can be sold for a high price.
Pearl,Gem,A gem harvested from shellfish. Not to be confused with black pearls produced by Syakomon. Can be sold for a high price.
Aquamarine,Gem,"A translucent, sky-blue gem of the beryl family. Can be sold for a high price."
Jade,Gem,A gem that is said to bring about rebirth. Can be sold for a high price.
Alexandrite,Gem,A gem which changes color to blue-green in sunlight and red under artificial light. Can be sold for a high price.
Ruby,Gem,A scarlet gem of hardness rivaled only by diamond. Can be sold for a high price.
Sapphire,Gem,"A gem that comes in all colors other than red, of hardness rivaled only by diamond. Can be sold for a high price."
Emerald,Gem,A vividly green gem of the beryl family. Can be sold for a high price.
Diamond,Gem,A dreary old killjoy would say it's made of the same stuff as what's in an ordinary pencil. Can be sold for a high price.
Digi-Jewel,Gem,An incredibly rare and mysterious gem. Can be sold for a high price.
HP Attachment I,Attachment,Boosts HP by 1 /Equipment
HP Attachment II,Attachment,HP boost 2 /Equipment
HP Attachment III,Attachment,HP boost 3 /Equipment
SP Attachment I,Attachment,Boosts SP by 1 /Equipment
SP Attachment II,Attachment,SP boost 2 /Equipment
SP Attachment III,Attachment,SP boost 3 /Equipment
ATK Attachment I,Attachment,Boosts ATK by 1 /Equipment
ATK Attachment II,Attachment,ATK boost 2 /Equipment
ATK Attachment III,Attachment,ATK boost 3 /Equipment
DEF Attachment I,Attachment,Boosts DEF by 1 /Equipment
DEF Attachment II,Attachment,DEF boost 2 /Equipment
DEF Attachment III,Attachment,DEF boost 3 /Equipment
INT Attachment I,Attachment,Boosts INT by 1 /Equipment
INT Attachment II,Attachment,INT boost 2 /Equipment
INT Attachment III,Attachment,INT boost 3 /Equipment
SPI Attachment I,Attachment,Boosts SPI by 1 /Equipment
SPI Attachment II,Attachment,SPI boost 2 /Equipment
SPI Attachment III,Attachment,SPI boost 3 /Equipment
SPD Attachment I,Attachment,Boosts SPD by 1 /Equipment
SPD Attachment II,Attachment,SPD boost 2 /Equipment
SPD Attachment III,Attachment,SPD boost 3 /Equipment
ACU Attachment I,Attachment,ACU boost 1 /Equipment
ACU Attachment II,Attachment,ACU boost 2 /Equipment
EVA Attachment I,Attachment,Boosts EVA by 1 /Equipment
